Fanny Blanckaert|Feb 10, 1968|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100185-fanny-blanckaert
Sabine Bontinck|Feb 8, 1965|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100186-sabine-bontinck
Conny Van Ben Bossche|May 8, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100187-conny-van-ben-bossche
Claire Boufflette|Sep 4, 1968|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100188-claire-boufflette
Mireille Bragard|Sep 16, 1968|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100189-mireille-bragard
Nicole Brunin|Oct 12, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100190-nicole-brunin
Christine Cloos|Aug 8, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100191-christine-cloos
Veronique Collet|Mar 4, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100192-veronique-collet
Inez Creemers|Jun 2, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100193-inez-creemers
Liesbeth Decaluwe|Jan 10, 1954|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100194-liesbeth-decaluwe
Pascale Demanet|May 12, 1962|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100195-pascale-demanet
Karen Deneckere|Apr 5, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100196-karen-deneckere
Nathalie Desplat|May 30, 1964|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100197-nathalie-desplat
Chantal Desurpalis|Oct 22, 1952|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100198-chantal-desurpalis
Danielle Dewandeler|Nov 3, 1959|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100199-danielle-dewandeler
Raina Dewulf|Jul 11, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100200-raina-dewulf
Patricia Van Doren|Oct 17, 1959|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100201-patricia-van-doren
Martine Durant|Aug 22, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100202-martine-durant
Micheline Duyck|Oct 18, 1952|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100203-micheline-duyck
Veronique Framerée|Jan 31, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100204-veronique-frameree
Dominique Geeraerts|Aug 18, 1965|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100205-dominique-geeraerts
Fabienne Georis|Feb 10, 1965|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100206-fabienne-georis
Ingrid Girlissen|Jul 16, 1960|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100207-ingrid-girlissen
Veronique Goessens|Aug 7, 1959|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100208-veronique-goessens
An Gyselinck|Sep 21, 1967|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100209-an-gyselinck
Karin Van Heuckelom|Oct 23, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100210-karin-van-heuckelom
Yrida Hemelaer|Sep 14, 1961|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100211-yrida-hemelaer
Corinne Huyghe|Aug 9, 1960|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100212-corinne-huyghe
Gerlinde De Klerck|Jan 31, 1960|0|N/A|NAT|BEL|https://www.fiba.basketball/en/players/100213-gerlinde-de-klerck
Magda Kerssebeeck|Dec 19, 1953|0|N/A|BEL|BEL|https://www.fiba.basketball/en/players/100214-magda-kerssebeeck
